camara,departamento,duracion_segundos,fecha_fin,fecha_ini,id,id_legislador,lema,sublema,titular
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-05-16 23:59:00,2018-05-14 00:00:00,1212,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-05-26 23:59:00,2018-05-24 00:00:00,1213,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-07-11 23:59:00,2018-07-09 00:00:00,1214,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-07-13 23:59:00,2018-07-12 00:00:00,1215,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-07-17 23:59:00,2018-07-16 00:00:00,1216,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-07-31 23:59:00,2018-07-18 00:00:00,1217,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-08-10 23:59:00,2018-08-01 00:00:00,1218,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-08-18 23:59:00,2018-08-16 00:00:00,1219,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-09-19 23:59:00,2018-09-18 00:00:00,1220,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-10-15 23:59:00,2018-10-02 00:00:00,1221,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-10-24 23:59:00,2018-10-24 00:00:00,1222,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-10-25 23:59:00,2018-10-25 00:00:00,1223,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-11-22 23:59:00,2018-11-22 00:00:00,1224,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-12-14 23:59:00,2018-12-14 00:00:00,1225,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2018-12-27 23:59:00,2018-12-27 00:00:00,1226,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2019-03-06 23:59:00,2019-03-06 00:00:00,1227,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2019-03-29 23:59:00,2019-03-29 00:00:00,1228,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,TREINTA Y TRES,86340.0,2019-05-15 23:59:00,2019-05-14 00:00:00,1229,12369,PARTIDO FRENTE AMPLIO,4090,"Toledo Antúnez, Hermes"
Cámara de Representantes,MONTEVIDEO,86340.0,2015-03-17 23:59:00,2015-03-17 00:00:00,1230,11652,,3311,
Cámara de Representantes,MONTEVIDEO,86340.0,2016-04-14 23:59:00,2016-04-14 00:00:00,1231,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2016-07-13 23:59:00,2016-07-13 00:00:00,1232,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2016-07-15 23:59:00,2016-07-15 00:00:00,1233,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2016-08-11 23:59:00,2016-08-11 00:00:00,1234,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2016-11-01 23:59:00,2016-11-01 00:00:00,1235,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-03-09 23:59:00,2017-03-09 00:00:00,1236,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-04-06 23:59:00,2017-04-06 00:00:00,1237,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-05-04 23:59:00,2017-05-04 00:00:00,1238,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-06-01 23:59:00,2017-06-01 00:00:00,1239,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-07-06 23:59:00,2017-07-06 00:00:00,1240,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-10-05 23:59:00,2017-10-05 00:00:00,1241,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2018-06-07 23:59:00,2018-06-07 00:00:00,1242,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2018-06-13 23:59:00,2018-06-13 00:00:00,1243,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2018-07-05 23:59:00,2018-07-05 00:00:00,1244,11652,PARTIDO FRENTE AMPLIO,3311,"Puig, Luis"
Cámara de Representantes,MONTEVIDEO,86340.0,2015-10-14 23:59:00,2015-10-11 00:00:00,1245,11914,,2014,
Cámara de Representantes,MONTEVIDEO,86340.0,2015-10-15 23:59:00,2015-10-15 00:00:00,1246,11914,PARTIDO NACIONAL,2014,"Iturralde Viñas, Pablo"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-03-01 23:59:00,2017-03-01 00:00:00,1247,11914,PARTIDO NACIONAL,2014,"Iturralde Viñas, Pablo"
Cámara de Representantes,MONTEVIDEO,86340.0,2017-08-29 23:59:00,2017-08-15 00:00:00,1248,11914,PARTIDO NACIONAL,2014,"Iturralde Viñas, Pablo"
Cámara de Representantes,MONTEVIDEO,86340.0,2018-10-25 23:59:00,2018-10-11 00:00:00,1249,11914,PARTIDO NACIONAL,2014,"Iturralde Viñas, Pablo"
Cámara de Representantes,DURAZNO,86340.0,2015-06-03 23:59:00,2015-06-03 00:00:00,1250,11791,,404,
Cámara de Representantes,DURAZNO,86340.0,2015-06-17 23:59:00,2015-06-17 00:00:00,1251,11791,PARTIDO NACIONAL,404,"Vidalín, Carmelo"
Cámara de Representantes,DURAZNO,86340.0,2015-06-19 23:59:00,2015-06-18 00:00:00,1252,11791,PARTIDO NACIONAL,404,"Vidalín, Carmelo"
Cámara de Representantes,ROCHA,86340.0,2015-03-04 23:59:00,2015-03-04 00:00:00,1253,11632,,90609,
Cámara de Representantes,ROCHA,86340.0,2015-03-11 23:59:00,2015-03-10 00:00:00,1254,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-03-18 23:59:00,2015-03-17 00:00:00,1255,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-04-08 23:59:00,2015-04-07 00:00:00,1256,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-04-15 23:59:00,2015-04-14 00:00:00,1257,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-04-17 23:59:00,2015-04-16 00:00:00,1258,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-04-22 23:59:00,2015-04-22 00:00:00,1259,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-04-29 23:59:00,2015-04-29 00:00:00,1260,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-05-06 23:59:00,2015-05-06 00:00:00,1261,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-05-13 23:59:00,2015-05-12 00:00:00,1262,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-05-21 23:59:00,2015-05-20 00:00:00,1263,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-05-27 23:59:00,2015-05-27 00:00:00,1264,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-06-01 23:59:00,2015-06-01 00:00:00,1265,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
Cámara de Representantes,ROCHA,86340.0,2015-11-18 23:59:00,2015-11-12 00:00:00,1266,11632,PARTIDO FRENTE AMPLIO,90609,"Pereyra, Aníbal"
