fecha,id,id_legislador,id_proyecto
2015-12-15,185,5131,127929
2015-12-15,186,5131,127931
2015-06-10,187,5131,124969
2017-04-04,188,414,134288
2019-02-12,189,922,142491
2018-12-05,190,922,142063
2018-11-22,191,922,141926
2018-07-10,192,922,140424
2018-05-22,193,922,139802
2018-04-04,194,922,139128
2018-02-21,195,922,138468
2018-02-09,196,922,138413
2018-02-07,197,922,138322
2017-12-20,198,922,137988
2017-12-06,199,922,137830
2017-11-15,200,922,137606
2017-11-14,201,922,137535
2017-11-08,202,922,137427
2017-11-07,203,922,137375
2017-08-09,204,922,136210
2017-07-12,205,922,135674
2017-07-12,206,922,135696
2017-07-05,207,922,135589
2017-06-27,208,922,135458
2017-06-13,209,922,135253
2017-06-13,210,922,135267
2017-06-05,211,922,135084
2017-06-05,212,922,135085
2017-04-18,213,922,134381
2017-03-14,214,922,133874
2017-02-07,215,922,133569
2016-12-21,216,922,133260
2016-11-23,217,922,132827
2016-11-14,218,922,132647
2016-11-14,219,922,132655
2016-10-04,220,922,131924
2016-10-03,221,922,131898
2016-09-13,222,922,131639
2016-07-12,223,922,130719
2016-06-15,224,922,130248
2016-06-15,225,922,130547
2016-06-08,226,922,130149
2016-06-06,227,922,130072
2016-06-06,228,922,130074
2015-06-16,229,7354,125010
2015-06-16,230,7354,125009
2018-12-05,231,10003,142063
2017-12-19,232,10003,137958
2017-12-06,233,10003,137830
2017-08-09,234,10003,136210
2017-06-13,235,10003,135267
2017-04-27,236,10003,134583
2017-04-05,237,10003,134340
2016-11-30,238,10003,132925
2016-10-27,239,10003,132308
2016-09-14,240,10003,131814
2015-12-15,241,10003,127929
2015-11-03,242,10003,127178
2015-10-06,243,10003,126823
2015-09-11,244,10003,126518
2015-06-18,245,10003,125087
2015-06-17,246,10003,125053
2015-06-16,247,10003,125024
2015-06-16,248,10003,125025
2015-03-03,249,10003,123532
2018-12-14,250,598,142181
2018-11-13,251,598,141815
2018-06-06,252,598,140068
2018-03-14,253,598,138873
2018-03-13,254,598,138855
2018-03-09,255,598,138818
2018-02-21,256,598,138471
2017-12-06,257,598,137830
2017-10-03,258,598,136846
2017-09-05,259,598,136527
2017-08-01,260,598,135993
2016-11-30,261,598,132925
2016-10-27,262,598,132308
2016-09-14,263,598,131814
2015-11-03,264,598,127178
2015-09-15,265,598,126567
2015-08-12,266,598,125989
2015-08-04,267,598,125745
2015-07-15,268,598,125513
2015-06-01,269,598,124753
2015-03-17,270,598,123750
2015-03-04,271,598,123525
2015-03-03,272,598,123450
2015-03-03,273,598,123493
2015-03-03,274,598,123494
2017-12-06,275,277,137830
2017-11-07,276,277,137375
2017-11-01,277,277,137300
2017-07-12,278,277,135668
2017-06-29,279,277,135482
2017-06-07,280,277,135165
2017-05-16,281,277,134850
2017-04-04,282,277,134288
2017-03-03,283,277,133711
2016-11-30,284,277,132929
2016-11-22,285,277,132804
2016-11-14,286,277,132655
2016-10-18,287,277,132117
2016-10-18,288,277,132114
2016-08-03,289,277,131029
2016-06-15,290,277,130280
2016-03-02,291,277,128446
2016-02-16,292,277,128332
2015-11-10,293,277,127268
2015-08-10,294,277,125874
2015-07-01,295,277,125290
2015-07-01,296,277,125289
2015-07-01,297,277,125291
2015-07-01,298,277,125293
2015-07-01,299,277,125292
2015-06-10,300,277,124969
2015-04-15,301,277,125032
2017-08-09,302,11531,136210
2019-04-10,303,6900,143192
2019-04-09,304,6900,143144
2019-03-13,305,6900,142562
2019-03-11,306,6900,142699
2019-02-12,307,6900,142491
2018-12-05,308,6900,142060
2018-11-22,309,6900,141926
2018-11-12,310,6900,141809
2018-07-10,311,6900,140424
2018-07-10,312,6900,140425
2018-06-18,313,6900,140161
2018-06-12,314,6900,140077
2018-04-17,315,6900,139308
2018-03-09,316,6900,138818
2018-03-06,317,6900,138686
2018-02-07,318,6900,138322
2017-12-06,319,6900,137830
2017-12-05,320,6900,137800
2017-11-21,321,6900,137648
2017-11-15,322,6900,137606
2017-11-14,323,6900,137535
2017-08-09,324,6900,136210
2017-07-12,325,6900,135674
2017-07-04,326,6900,135553
