,id_senador,titulo,fecha_entrada,id_ficha,organismo
0,7766,ANEP. PADRONES RURALES. TRANSFERENCIAS. INFORMES,2017-07-05,135575,ANEP*
1,7766,BARRA DEL CHUY (ROCHA). ARENA. EXTRACCIÓN. INFORMES.,2017-03-14,133865,DINAMA*
2,7766,FOCEM. PROYECTOS. INFORMES.,2016-06-01,130002,MRREE*
3,7766,CASINOS ESTADO. FUNCIONARIOS EN COMISIÓN. MÁQUINAS TRAGAMONEDAS. INFORMES.,2015-08-12,125928,DIRECCION GENERAL CASINOS
4,7766,"VITIVINICULTURA NACIONAL, SITUACIÓN, INFORMACIÓN, SOLICITUD.",2015-08-10,125870,INAVI*
5,7766,INSTITUTO NACIONAL VITIVINICULTURA. SITUACIÓN Y FUNCIONAMIENTO. INFORMES.,2015-08-10,125872,INAVI*
