,id_senador,id_ficha,fecha_entrada
0,327,143026,2019-03-25
1,327,142492,2019-02-14
2,327,142063,2018-12-05
3,327,141926,2018-11-22
4,327,140834,2018-08-15
5,327,140424,2018-07-10
6,327,140425,2018-07-10
7,327,140161,2018-06-18
8,327,140181,2018-06-14
9,327,140183,2018-06-14
10,327,139714,2018-05-10
11,327,138320,2018-02-07
12,327,138322,2018-02-07
13,327,137606,2017-11-15
14,327,137709,2017-11-15
15,327,137535,2017-11-14
16,327,137470,2017-11-13
17,327,137468,2017-11-13
18,327,137474,2017-11-13
19,327,137476,2017-11-13
20,327,137475,2017-11-13
21,327,137427,2017-11-08
22,327,137375,2017-11-07
23,327,136846,2017-10-03
24,327,136210,2017-08-09
25,327,135672,2017-07-12
26,327,135674,2017-07-12
27,327,135298,2017-06-15
28,327,135267,2017-06-13
29,327,135217,2017-06-12
30,327,135218,2017-06-12
31,327,135084,2017-06-05
32,327,135085,2017-06-05
33,327,134953,2017-05-24
34,327,134954,2017-05-24
35,327,134955,2017-05-24
36,327,134583,2017-04-27
37,327,133794,2017-03-08
38,327,133711,2017-03-03
39,327,133672,2017-02-22
