fecha,id,id_legislador,id_legislatura,id_proyecto,organismo
2019-03-13,155,11524,6,142562,
2018-12-19,156,11524,6,142226,
2018-04-09,157,11524,6,139152,
2018-03-09,158,11524,6,138818,
2017-08-09,159,11524,6,136210,
2017-06-13,160,11524,6,135267,
2017-04-27,161,11524,6,134583,
2016-11-30,162,11524,6,132925,
2016-11-15,163,11524,6,132672,
2016-11-14,164,11524,6,132655,
2016-07-06,165,11524,6,130645,
2016-07-06,166,11524,6,130647,
2016-06-07,167,11524,6,130103,
2016-05-05,168,11524,6,129486,
2016-03-08,169,11524,6,128594,
2015-10-06,170,11524,6,126823,
2015-09-11,171,11524,6,126518,
2015-03-24,172,11524,6,123873,
2019-03-25,173,11524,6,143018,MVOTMA*
2019-03-25,174,11524,6,143022,MTOP*
2019-02-27,175,11524,6,142517,MIEM*
2019-02-27,176,11524,6,142519,MVOTMA*
2019-02-21,177,11524,6,142506,OSE*
2019-02-21,178,11524,6,142505,DINAMA*
2019-02-21,179,11524,6,142508,MGAP*
2019-02-21,180,11524,6,142507,MSP*
2018-12-17,181,11524,6,142217,BPS*
2018-11-26,182,11524,6,141957,MSP*
2018-10-30,183,11524,6,141706,AFE*
2018-10-03,184,11524,6,141444,DINAMA*
2018-10-02,185,11524,6,141426,MSP*
2018-09-13,186,11524,6,141238,MVOTMA*
2018-08-10,187,11524,6,140757,MIEM*
2018-08-10,188,11524,6,140757,AUTORIDAD REGULADORA NACIONAL RADIOPROTECCION
2018-07-03,189,11524,6,140342,COMISION NACIONAL HONORARIA ZOONOSIS
2018-06-29,190,11524,6,140280,MSP*
2018-06-29,191,11524,6,140282,COTRYBA*
2018-06-07,192,11524,6,140040,OSE*
2018-06-05,193,11524,6,139973,ASSE*
2018-05-23,194,11524,6,139822,MVOTMA*
2018-05-23,195,11524,6,139824,MVOTMA*
2018-05-18,196,11524,6,139784,INC*
2017-11-22,197,11524,6,137687,MGAP*
2017-08-31,198,11524,6,136458,ANEP*
2017-08-31,199,11524,6,136461,MGAP*
2017-08-29,200,11524,6,136428,ANEP*
2017-08-29,201,11524,6,136430,OSE*
2017-08-29,202,11524,6,136431,DINAGUA*
2017-07-13,203,11524,6,135720,MEC*
2017-06-21,204,11524,6,135355,MVOTMA*
2017-06-21,205,11524,6,135356,MDN*
2017-06-21,206,11524,6,135357,MTSS*
2017-06-06,207,11524,6,135131,MGAP*
2017-05-16,208,11524,6,134868,MVOTMA*
2017-05-11,209,11524,6,134808,ANCAP*
2017-05-11,210,11524,6,134808,INC*
2016-12-06,211,11524,6,133046,MIEM*
2016-12-06,212,11524,6,133047,MTSS*
2016-12-06,213,11524,6,133049,DNA*
2016-11-23,214,11524,6,132830,DINAMA*
2019-02-11,215,8267,6,142481,MGAP*
2019-04-02,216,8267,6,143084,
2018-11-14,217,8267,6,141848,
2018-10-09,218,8267,6,141494,
2017-07-12,219,8267,6,135668,
2017-06-07,220,8267,6,135165,
2016-11-30,221,8267,6,132929,
2016-11-22,222,8267,6,132804,
2016-09-27,223,8267,6,131836,
2016-06-08,224,8267,6,130145,
2016-03-08,225,8267,6,128594,
2016-03-02,226,8267,6,128446,
2015-12-15,227,8267,6,127930,
2015-11-10,228,8267,6,127268,
2015-07-01,229,8267,6,125290,
2015-07-01,230,8267,6,125289,
2015-07-01,231,8267,6,125291,
2015-07-01,232,8267,6,125293,
2015-07-01,233,8267,6,125292,
2015-06-10,234,8267,6,124969,
2015-06-01,235,8267,6,125265,
2017-07-26,236,9900,6,135905,ONSC*
2017-07-24,237,9900,6,135884,CORTE ELECTORAL
2019-05-14,238,9900,6,143583,
2019-05-14,239,9900,6,143593,
2019-05-14,240,9900,6,143567,
2019-05-14,241,9900,6,143568,
2019-05-14,242,9900,6,143602,
2019-05-14,243,9900,6,143603,
2019-05-14,244,9900,6,143600,
2019-05-14,245,9900,6,143601,
2019-04-09,246,9900,6,143144,
2019-04-08,247,9900,6,143141,
2019-04-02,248,9900,6,143084,
2018-12-05,249,9900,6,142063,
2018-11-14,250,9900,6,141848,
2018-10-09,251,9900,6,141494,
2018-08-01,252,9900,6,140668,
2018-07-10,253,9900,6,140425,
2018-05-08,254,9900,6,139576,
2018-05-02,255,9900,6,139480,
2018-03-06,256,9900,6,138643,
2017-12-06,257,9900,6,137830,
2017-11-22,258,9900,6,137658,
2017-11-14,259,9900,6,137519,
2017-11-07,260,9900,6,137375,
2017-11-01,261,9900,6,137300,
2017-10-10,262,9900,6,137051,
2017-07-12,263,9900,6,135668,
2017-07-12,264,9900,6,135674,
2017-06-29,265,9900,6,135482,
2017-06-27,266,9900,6,135458,
2017-06-07,267,9900,6,135165,
2017-06-05,268,9900,6,135085,
2017-06-05,269,9900,6,135084,
2017-05-16,270,9900,6,134850,
2017-05-10,271,9900,6,134776,
2017-04-26,272,9900,6,134536,
2017-04-05,273,9900,6,134340,
2017-04-04,274,9900,6,134288,
2017-03-14,275,9900,6,133875,
2016-11-30,276,9900,6,132929,
2016-11-22,277,9900,6,132804,
2017-04-04,278,414,6,134288,
2017-07-26,279,414,6,135905,ONSC*
2018-02-07,280,5131,6,138322,
2017-11-14,281,5131,6,137539,
2017-10-26,282,5131,6,137238,
2017-08-09,283,5131,6,136210,
2017-06-13,284,5131,6,135267,
2016-11-01,285,5131,6,132481,
2016-05-24,286,5131,6,130529,
2016-03-16,287,5131,6,128759,
2016-03-08,288,5131,6,128594,
2015-12-15,289,5131,6,127929,
2015-12-15,290,5131,6,127931,
2015-06-10,291,5131,6,124969,
2018-12-19,292,5131,6,142262,OSE*
2018-12-19,293,5131,6,142264,MVOTMA*
2018-12-19,294,5131,6,142265,MSP*
2018-12-13,295,5131,6,142177,PNN*
2018-12-13,296,5131,6,142176,MSP*
2018-12-13,297,5131,6,142179,DINAMA*
2018-12-13,298,5131,6,142178,ANCAP*
2018-12-13,299,5131,6,142175,OSE*
2018-12-13,300,5131,6,142174,MGAP*
2017-10-02,301,5131,6,136804,OSE*
2017-10-02,302,5131,6,136804,MGAP*
2017-10-02,303,5131,6,136804,MVOTMA*
2017-10-02,304,5131,6,136804,PNN*
2016-05-10,305,5131,6,129568,ASSE*
2016-05-03,306,5131,6,129417,ASSE*
2016-03-02,307,5131,6,128467,MSP*
2015-07-23,308,5131,6,125597,MSP*
2015-07-08,309,5131,6,125370,MSP*
2019-03-19,310,922,6,142934,DINAMA*
2018-08-22,311,922,6,140941,MVOTMA*
2018-08-14,312,922,6,140790,MTOP*
2018-07-03,313,922,6,140336,ANP*
2018-06-20,314,922,6,140174,ANV*
2018-06-11,315,922,6,140071,MTOP*
2018-05-15,316,922,6,139702,MEF*
2018-05-08,317,922,6,139573,MGAP*
