asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id,id_comision,id_legislador,id_legislatura,licencia,otras_comisiones
1,1,0,0,2018-04-26,0,1112,2743,6,0,0
1,1,0,0,2018-05-31,1,1112,2743,6,0,0
0,1,1,0,2018-11-29,2,1112,2743,6,0,0
1,1,0,0,2015-04-14,3,311,2743,6,0,0
1,1,0,0,2015-05-12,4,311,2743,6,0,0
1,1,0,0,2015-05-19,5,311,2743,6,0,0
1,1,0,0,2017-09-19,6,311,2743,6,0,0
1,1,0,0,2017-11-14,7,311,2743,6,0,0
1,1,0,0,2018-03-13,8,311,2743,6,0,0
1,1,0,0,2018-04-10,9,311,2743,6,0,0
1,1,0,0,2018-04-24,10,311,2743,6,0,0
1,1,0,0,2018-05-22,11,311,2743,6,0,0
1,1,0,0,2018-05-24,12,311,2743,6,0,0
1,1,0,0,2018-05-29,13,311,2743,6,0,0
1,1,0,0,2018-06-05,14,311,2743,6,0,0
1,1,0,0,2019-04-02,15,311,2743,6,0,0
1,1,0,0,2015-04-08,16,321,2743,6,0,0
1,1,0,0,2015-04-14,17,321,2743,6,0,0
0,1,1,0,2018-06-04,18,321,2743,6,0,0
1,1,0,0,2018-09-10,19,321,2743,6,0,0
0,1,1,0,2015-04-09,20,315,2743,6,0,0
1,1,0,0,2015-04-16,21,315,2743,6,0,0
1,1,0,0,2015-05-14,22,315,2743,6,0,0
1,1,0,0,2017-11-16,23,315,2743,6,0,0
1,1,0,0,2018-03-15,24,315,2743,6,0,0
0,1,1,0,2018-04-12,25,315,2743,6,0,0
1,1,0,0,2018-04-26,26,315,2743,6,0,0
1,1,0,0,2018-05-24,27,315,2743,6,0,0
1,1,0,0,2018-05-31,28,315,2743,6,0,0
1,1,0,0,2018-09-06,29,1104,2743,6,0,0
1,1,0,0,2018-09-06,30,1104,2743,6,0,0
0,1,0,0,2018-09-07,31,1104,2743,6,0,0
0,1,0,0,2018-09-07,32,1104,2743,6,0,0
1,1,0,0,2018-09-10,33,1104,2743,6,0,0
1,1,0,0,2018-09-10,34,1104,2743,6,0,0
1,1,0,0,2018-09-11,35,1104,2743,6,0,0
1,1,0,0,2018-09-11,36,1104,2743,6,0,0
1,1,0,0,2018-09-12,37,1104,2743,6,0,0
1,1,0,0,2018-09-12,38,1104,2743,6,0,0
1,1,0,0,2018-09-13,39,1104,2743,6,0,0
1,1,0,0,2018-09-13,40,1104,2743,6,0,0
0,1,0,0,2018-09-14,41,1104,2743,6,0,0
1,1,0,0,2015-04-15,42,324,2743,6,0,0
1,1,0,0,2018-03-14,43,324,2743,6,0,0
0,1,1,0,2018-06-04,44,927,2743,6,0,0
0,1,0,0,2015-04-14,45,418,2743,6,0,1
1,1,0,0,2015-05-12,46,418,2743,6,0,0
1,1,0,0,2018-03-13,47,418,2743,6,0,0
1,1,0,0,2018-05-22,48,418,2743,6,0,0
1,1,0,0,2018-05-29,49,418,2743,6,0,0
1,1,0,0,2018-06-05,50,418,2743,6,0,0
1,1,0,0,2018-06-06,51,418,2743,6,0,0
1,1,0,0,2019-04-02,52,418,2743,6,0,0
1,1,0,0,2015-04-07,53,331,5146,6,0,0
1,1,0,0,2015-04-13,54,331,5146,6,0,0
1,1,0,0,2015-04-15,55,331,5146,6,0,0
0,1,1,0,2015-04-22,56,331,5146,6,0,0
1,1,0,0,2015-05-13,57,331,5146,6,0,0
1,1,0,0,2015-05-14,58,331,5146,6,0,0
1,1,0,0,2015-05-19,59,331,5146,6,0,0
1,1,0,0,2015-06-09,60,331,5146,6,0,0
1,1,0,0,2015-06-17,61,331,5146,6,0,0
1,1,0,0,2015-07-01,62,331,5146,6,0,0
1,1,0,0,2015-07-07,63,331,5146,6,0,0
1,1,0,0,2015-07-15,64,331,5146,6,0,0
1,1,0,0,2015-07-22,65,331,5146,6,0,0
1,1,0,0,2015-08-05,66,331,5146,6,0,0
1,1,0,0,2015-08-11,67,331,5146,6,0,0
1,1,0,0,2015-09-02,68,331,5146,6,0,0
1,1,0,0,2015-10-07,69,331,5146,6,0,0
1,1,0,0,2015-12-09,70,331,5146,6,0,0
1,1,0,0,2015-12-14,71,331,5146,6,0,0
1,1,0,0,2016-03-02,72,331,5146,6,0,0
1,1,0,0,2016-03-04,73,331,5146,6,0,0
1,1,0,0,2016-04-05,74,331,5146,6,0,0
1,1,0,0,2016-04-19,75,331,5146,6,0,0
1,1,0,0,2016-05-10,76,331,5146,6,0,0
1,1,0,0,2016-05-17,77,331,5146,6,0,0
0,1,1,0,2016-05-18,78,331,5146,6,0,0
1,1,0,0,2016-06-01,79,331,5146,6,0,0
1,1,0,0,2016-06-08,80,331,5146,6,0,0
1,1,0,0,2016-06-20,81,331,5146,6,0,0
1,1,0,0,2016-07-05,82,331,5146,6,0,0
1,1,0,0,2016-07-12,83,331,5146,6,0,0
1,1,0,0,2016-08-02,84,331,5146,6,0,0
1,1,0,0,2016-08-23,85,331,5146,6,0,0
1,1,0,0,2016-08-26,86,331,5146,6,0,0
1,1,0,0,2016-10-05,87,331,5146,6,0,0
1,1,0,0,2016-11-15,88,331,5146,6,0,0
1,1,0,0,2016-11-22,89,331,5146,6,0,0
1,1,0,0,2016-12-05,90,331,5146,6,0,0
1,1,0,0,2015-06-11,91,1087,5146,6,0,0
1,1,0,0,2015-06-30,92,1087,5146,6,0,0
1,1,0,0,2015-07-21,93,1087,5146,6,0,0
0,1,0,0,2015-08-18,94,1087,5146,6,0,1
1,1,0,0,2015-10-06,95,1087,5146,6,0,0
1,1,0,0,2015-11-26,96,1087,5146,6,0,0
1,1,0,0,2016-03-29,97,1087,5146,6,0,0
1,1,0,0,2016-04-26,98,1087,5146,6,0,0
1,1,0,0,2016-05-03,99,1087,5146,6,0,0
1,1,0,0,2016-08-02,100,1087,5146,6,0,0
0,1,1,0,2015-04-16,101,336,5146,6,0,0
1,1,0,0,2015-05-14,102,336,5146,6,0,0
1,1,0,0,2015-05-21,103,336,5146,6,0,0
1,1,0,0,2015-06-04,104,336,5146,6,0,0
1,1,0,0,2015-06-11,105,336,5146,6,0,0
1,1,0,0,2015-07-02,106,336,5146,6,0,0
1,1,0,0,2015-07-16,107,336,5146,6,0,0
1,1,0,0,2015-07-21,108,336,5146,6,0,0
1,1,0,0,2015-09-03,109,336,5146,6,0,0
1,1,0,0,2015-09-10,110,336,5146,6,0,0
1,1,0,0,2015-10-01,111,336,5146,6,0,0
1,1,0,0,2016-03-10,112,336,5146,6,0,0
1,1,0,0,2016-04-07,113,336,5146,6,0,0
1,1,0,0,2016-04-14,114,336,5146,6,0,0
1,1,0,0,2016-05-12,115,336,5146,6,0,0
1,1,0,0,2016-06-09,116,336,5146,6,0,0
1,1,0,0,2016-06-16,117,336,5146,6,0,0
1,1,0,0,2016-07-07,118,336,5146,6,0,0
1,1,0,0,2016-11-17,119,336,5146,6,0,0
1,1,0,0,2015-12-17,120,315,5146,6,0,0
1,1,0,0,2015-12-28,121,315,5146,6,0,0
1,1,0,0,2015-10-21,122,1104,5146,6,0,0
1,1,0,0,2015-10-22,123,1104,5146,6,0,0
0,1,1,0,2015-11-09,124,1104,5146,6,0,0
0,1,1,0,2015-11-12,125,1104,5146,6,0,0
1,1,0,0,2015-11-13,126,1104,5146,6,0,0
1,1,0,0,2015-11-13,127,1104,5146,6,0,0
1,1,0,0,2015-11-16,128,1104,5146,6,0,0
1,1,0,0,2015-11-16,129,1104,5146,6,0,0
0,1,1,0,2015-11-17,130,1104,5146,6,0,0
1,1,0,0,2015-11-23,131,1104,5146,6,0,0
1,1,0,0,2015-11-23,132,1104,5146,6,0,0
1,1,0,0,2015-11-24,133,1104,5146,6,0,0
1,1,0,0,2015-11-24,134,1104,5146,6,0,0
1,1,0,0,2015-11-25,135,1104,5146,6,0,0
