asistencias,citaciones,cuerpo,id_legislador,informes_total,lema,nombre,proyectos_total
61,79,REPRESENTANTE,7745,13,PARTIDO NACIONAL,"Olano Llano, José Quintín",3
65,95,REPRESENTANTE,7746,25,PARTIDO FRENTE AMPLIO,"Toledo Antúnez, Hermes",4
286,336,,7751,50,,"Mujica, Gonzalo",4
332,398,REPRESENTANTE,7754,71,PARTIDO FRENTE AMPLIO,"Varela Nestier, Carlos",5
325,417,REPRESENTANTE,7755,119,PARTIDO FRENTE AMPLIO,"Pozzi, Jorge",14
286,343,REPRESENTANTE,7759,136,PARTIDO FRENTE AMPLIO,"Rodríguez, Edgardo",43
147,197,REPRESENTANTE,7764,42,PARTIDO NACIONAL,"Charamelo, Richard",11
289,301,SENADO,7766,59,PARTIDO NACIONAL,"Saravia, Jorge",12
439,485,SENADO,7769,120,PARTIDO FRENTE AMPLIO,"Passada, Ivonne",25
103,104,,7843,5,,"Caballero, Irene",6
161,167,,7891,1,,"Gallicchio Queirolo, Antonio",7
360,431,REPRESENTANTE,7952,58,PARTIDO FRENTE AMPLIO,"Battistoni, Julio",6
266,397,REPRESENTANTE,7981,209,PARTIDO NACIONAL,"Umpiérrez, Alejo",62
36,36,,7982,9,,"Zavala, Alejandro",1
423,453,REPRESENTANTE,8185,190,PARTIDO FRENTE AMPLIO,"Groba Arriondo, Oscar",8
3,4,,8217,2,,"Pacheco, Mary",4
251,254,,8267,55,,"Berterreche, Andrés",12
31,31,,8344,13,,"Ramos, Conrado",1
260,329,,8368,36,,"Mier, Sergio",14
141,159,,8458,18,,"Paternain Rodríguez, Rafael",2
232,318,,8461,64,,"Sanseverino, Berta",5
79,81,,8463,6,,"Meléndez, Lauro",1
309,439,REPRESENTANTE,8584,39,PARTIDO NACIONAL,"Castaingdebat, Armando",33
7,11,,8876,2,,"Sanabria Barrios, Francisco",1
383,448,REPRESENTANTE,8879,346,PARTIDO NACIONAL,"Bianchi, Graciela",61
215,219,SENADO,9038,99,PARTIDO FRENTE AMPLIO,"Pardiñas, Yeru",8
210,267,,9451,46,,"Mier Estades, Egardo Dionisio",35
23,43,,9645,9,,"Cantero Piali, Fitzgerald",32
265,372,REPRESENTANTE,9674,103,PARTIDO FRENTE AMPLIO,"Pereyra, Susana",6
381,457,REPRESENTANTE,9889,164,PARTIDO FRENTE AMPLIO,"Puig, Luis",10
355,591,SENADO,9891,83,PARTIDO NACIONAL,"Alonso, Verónica",35
400,483,REPRESENTANTE,9892,35,PARTIDO COLORADO,"Amado, Fernando",7
291,380,REPRESENTANTE,9894,82,PARTIDO FRENTE AMPLIO,"Sabini, Sebastián",27
341,426,REPRESENTANTE,9896,126,PARTIDO NACIONAL,"Niffouri Blanco, Amín",65
355,469,REPRESENTANTE,9897,108,PARTIDO COLORADO,"Matiaude, Graciela",51
732,765,SENADO,9900,114,PARTIDO FRENTE AMPLIO,"Ayala, Patricia",22
25,25,,9901,1,,"Frachia, Roberto",1
316,384,REPRESENTANTE,9902,36,PARTIDO FRENTE AMPLIO,"Tierno, Martín",7
324,458,REPRESENTANTE,9907,125,PARTIDO FRENTE AMPLIO,"Sánchez, Alejandro",6
409,458,REPRESENTANTE,9909,126,PARTIDO FRENTE AMPLIO,"Meroni, Jorge",5
326,440,REPRESENTANTE,9913,40,PARTIDO FRENTE AMPLIO,"Aristimuño, Saúl",13
92,93,,9915,19,,"Coitiño, Carlos",3
332,415,REPRESENTANTE,9916,47,PARTIDO FRENTE AMPLIO,"Caggiani, Daniel",6
103,138,,9917,59,,"Andrade, Oscar",4
346,393,REPRESENTANTE,9927,62,PARTIDO COLORADO,"Facello, Guillermo",53
48,103,REPRESENTANTE,9934,2,PARTIDO NACIONAL,"Acosta, Auro",1
368,430,REPRESENTANTE,9942,171,PARTIDO FRENTE AMPLIO,"Bottino, Cecilia",12
239,355,REPRESENTANTE,9943,42,PARTIDO FRENTE AMPLIO,"Santalla, Mercedes",12
251,371,REPRESENTANTE,9953,278,PARTIDO NACIONAL,"Arocena Argul, José Andrés",70
291,479,REPRESENTANTE,9964,71,PARTIDO COLORADO,"Eguiluz, Cecilia",40
111,112,,9966,8,,"Ziminov, Luis Alberto",5
301,438,SENADO,9969,63,PARTIDO COLORADO,"Coutinho Rodríguez, Germán",13
434,511,REPRESENTANTE,9972,159,PARTIDO INDEPENDIENTE,"Radío, Daniel",30
287,422,REPRESENTANTE,9973,122,PARTIDO COLORADO,"Verri, Walter",55
546,681,SENADO,9974,197,PARTIDO FRENTE AMPLIO,"Moreira, Constanza",19
82,87,,9982,15,,"López Villalba, Daniel",3
78,80,,9997,10,,"Ferreira, Zulimar",2
17,17,,10000,2,,"Fernández Farias, Eduardo",1
334,342,SENADO,10001,84,PARTIDO FRENTE AMPLIO,"Garin De Nardo, Daniel",25
336,415,SENADO,10003,11,PARTIDO NACIONAL,"Besozzi, Guillermo",24
87,90,SENADO,10008,17,PARTIDO FRENTE AMPLIO,"Lazo, Sandra",14
92,99,REPRESENTANTE,10010,2,PARTIDO NACIONAL,"Díaz Angüilla, Pablo",5
21,21,,10015,11,,"Ferreira, Angélica",9
240,354,REPRESENTANTE,10032,44,PARTIDO FRENTE AMPLIO,"Rodríguez Gálvez, Carlos",13
413,449,REPRESENTANTE,10034,89,PARTIDO FRENTE AMPLIO,"Umpiérrez, Javier",10
397,551,REPRESENTANTE,10078,137,PARTIDO FRENTE AMPLIO,"González, Pablo",7
375,446,REPRESENTANTE,10117,76,PARTIDO NACIONAL,"García, Mario",34
19,23,,10139,3,,"Sanguinetti, Francisco",5
102,110,,10156,2,,"Bistolfi, Marcelo",3
254,261,SENADO,10209,119,PARTIDO FRENTE AMPLIO,"Carrera Leal, Charles",22
87,94,,10282,28,,"Asiaín, Carmen",4
56,57,,10449,5,,"Pereyra, Grisel",1
3,3,,10704,2,,"González, María del Luján",1
100,102,,10964,6,,"Martínez, Dianne",1
8,8,,11030,2,,"Ribero, María Sara",1
333,462,REPRESENTANTE,11125,141,PARTIDO NACIONAL,"Lema, Martín",68
242,375,REPRESENTANTE,11329,200,PARTIDO NACIONAL,"Olivera, Nicolás",59
416,536,SENADO,11383,95,PARTIDO FRENTE AMPLIO,"De León, Leonardo",21
94,99,,11413,13,,"Gianoli, Gabriel",7
593,649,SENADO,11523,148,PARTIDO FRENTE AMPLIO,"Otheguy Vega, Marcos Javier",22
341,511,SENADO,11524,62,PARTIDO NACIONAL,"Aviaga Martínez, María Carol",52
404,474,REPRESENTANTE,11525,94,PARTIDO FRENTE AMPLIO,"Galán Pérez, Lilián Raquel",10
149,186,REPRESENTANTE,11526,16,PARTIDO FRENTE AMPLIO,"Lústemberg Haro, María Cristina",4
8,9,,11528,7,,"Suárez Bertora, Michelle",2
57,63,,11536,12,,"Pesce Olivera, Viviana",9
13,20,,11537,9,,"Olano Rodríguez, Celina Walkiria",6
330,386,REPRESENTANTE,11577,87,PARTIDO FRENTE AMPLIO,"Ríos, Silvio",7
234,337,REPRESENTANTE,11578,106,PARTIDO NACIONAL,"Ayala, Mario",37
295,383,REPRESENTANTE,11580,58,PARTIDO NACIONAL,"Yurramendi Pérez, José",27
315,426,REPRESENTANTE,11581,35,PARTIDO FRENTE AMPLIO,"Ruiz, Juan Federico",7
316,394,REPRESENTANTE,11582,153,PARTIDO NACIONAL,"Rodríguez, Gloria",59
263,315,REPRESENTANTE,11583,105,PARTIDO FRENTE AMPLIO,"Mendiondo, Constante",49
327,406,REPRESENTANTE,11584,100,PARTIDO FRENTE AMPLIO,"Malán, Enzo",36
434,510,REPRESENTANTE,11585,77,PARTIDO FRENTE AMPLIO,"Civila, Gonzalo",16
365,461,REPRESENTANTE,11586,30,PARTIDO FRENTE AMPLIO,"Barreiro, Gabriela",9
391,457,REPRESENTANTE,11587,173,PARTIDO FRENTE AMPLIO,"Chiazzaro, Roberto",14
381,520,REPRESENTANTE,11588,58,PARTIDO FRENTE AMPLIO,"Gelman, Macarena",6
356,421,REPRESENTANTE,11589,42,PARTIDO COLORADO,"Rapela, Valentina",59
334,394,REPRESENTANTE,11590,37,PARTIDO FRENTE AMPLIO,"Larzábal, Nelson",4
337,385,REPRESENTANTE,11591,19,PARTIDO FRENTE AMPLIO,"Reutor, Carlos",13
323,393,REPRESENTANTE,11592,10,PARTIDO FRENTE AMPLIO,"Silvera, Washington",4
315,410,REPRESENTANTE,11593,65,PARTIDO NACIONAL,"Andújar, Sebastián",51
271,340,REPRESENTANTE,11594,67,PARTIDO FRENTE AMPLIO,"Mutti Fornaroli, María Manuela",7
258,375,REPRESENTANTE,11595,90,PARTIDO NACIONAL,"Roselli, Edmundo",22
412,490,REPRESENTANTE,11597,199,PARTIDO COLORADO,"Rodríguez, Conrado",46
264,429,REPRESENTANTE,11598,61,PARTIDO NACIONAL,"Dastugue, Álvaro",35
289,376,REPRESENTANTE,11599,118,PARTIDO NACIONAL,"Olaizola, Juan José",63
345,466,REPRESENTANTE,11600,44,PARTIDO FRENTE AMPLIO,"Viel, Stella",7
273,413,REPRESENTANTE,11602,72,PARTIDO COLORADO,"Peña, Adrián",54
293,384,REPRESENTANTE,11611,94,PARTIDO NACIONAL,"Ezquerra Alonso, W. Aparicio",31
272,354,,11622,42,,"Querejeta, José",8
33,42,,11623,55,,"Vásquez Varela, Patricia",9
368,420,REPRESENTANTE,11627,90,PARTIDO FRENTE AMPLIO,"Núñez, Gerardo",57
66,76,REPRESENTANTE,11628,4,PARTIDO FRENTE AMPLIO,"Hugo, Claudia",1
154,160,,11630,43,,"Andrade, Susana",2
228,238,REPRESENTANTE,11634,83,PARTIDO FRENTE AMPLIO,"Díaz, Bettiana",4
58,59,,11636,11,,"Sironi Mattos, Ilda Renee",2
153,155,REPRESENTANTE,11638,14,PARTIDO FRENTE AMPLIO,"Libschitz, Margarita",2
39,40,,11647,3,,"Estévez, Miguel",1
25,26,,11653,4,,"Igarzábal Pérez, Alba Delia",4
28,28,,11667,14,,"Bacigalupi, Marcelo",17
40,41,,11669,17,,"Moraes, Wilma",4
32,33,,11676,6,,"Arlegui, Valentina",1
89,99,,11677,4,,"Britos, Betiana",8
151,153,,11685,3,,"Cayetano, Sonia",1
53,55,,11692,1,,"Zoulamián, Antonio",2
201,268,REPRESENTANTE,11693,19,PARTIDO FRENTE AMPLIO,"Pelegrín, Mariela",6
14,14,,11694,5,,"Nogueira Portillo, Jimena",5
52,62,REPRESENTANTE,11696,12,PARTIDO NACIONAL,"Rodríguez, Valentín",2
178,185,,11698,3,,"Reyes, Diego",1
16,18,,11699,4,,"Amorín, Juan José",2
86,89,,11703,53,,"Pérez, Carlos Hugo",1
134,134,,11704,57,,"Satdjian, José",43
134,137,,11708,12,,"Da Rosa, Gustavo",2
291,325,REPRESENTANTE,11709,108,PARTIDO COLORADO,"Reisch, Nibia",57
44,47,REPRESENTANTE,11712,4,PARTIDO NACIONAL,"Naumov, Julio",1
42,46,,11732,6,,"Tassano, Laura",3
49,50,,11740,7,,"Estrada, Ignacio",4
42,48,,11741,3,,"Alvarez, Martín",1
44,46,,11744,86,,"Cossia, Gastón",14
19,20,,11749,7,,"Fontes, Nicolás",3
16,18,REPRESENTANTE,11754,12,PARTIDO NACIONAL,"Biestro, María Pía",7
22,22,SENADO,11755,1,PARTIDO FRENTE AMPLIO,"Vassallo, Miguel",1
61,63,,11765,24,,"Lancaster, Elena",12
24,30,,11767,2,,"Leal Alvarez, Auber Agapito",2
59,65,,11768,24,,"Couto, Martín",1
73,79,,11781,3,,"Otero, Néstor",5
37,39,REPRESENTANTE,11782,13,PARTIDO NACIONAL,"Canclini Otton, Gloria Cristina",4
120,125,,11785,11,,"Rodríguez, Lucía",2
