fecha,id_proyecto,id_senador
2015-04-15 00:00:00,125032,277
2016-12-14 00:00:00,133188,5146
2016-11-22 00:00:00,132804,3238
2016-11-01 00:00:00,132477,197
2016-10-18 00:00:00,132117,3238
2016-10-18 00:00:00,132114,3238
2016-10-14 00:00:00,132139,898
2016-09-27 00:00:00,131836,7769
2016-08-03 00:00:00,131029,3238
2016-07-13 00:00:00,130766,5246
2016-06-15 00:00:00,130280,3238
2016-05-18 00:00:00,129742,5146
2016-03-08 00:00:00,128594,5246
2016-03-02 00:00:00,128446,898
2016-02-16 00:00:00,128332,898
2015-11-10 00:00:00,127268,3238
2015-08-12 00:00:00,125989,598
2015-07-14 00:00:00,125462,3238
2015-07-01 00:00:00,125290,3238
2015-07-01 00:00:00,125289,3238
2015-07-01 00:00:00,125291,3238
2015-07-01 00:00:00,125293,3238
2015-07-01 00:00:00,125292,3238
2015-06-16 00:00:00,125014,9038
2015-06-16 00:00:00,125018,5246
2015-06-10 00:00:00,124969,5246
2015-06-01 00:00:00,125265,2965
2015-04-14 00:00:00,124090,2945
2015-04-07 00:00:00,123986,2945
2015-04-07 00:00:00,123992,2945
2018-03-09 00:00:00,138818,9982
2017-12-06 00:00:00,137830,3238
2017-11-07 00:00:00,137375,3238
2017-06-13 00:00:00,135267,7766
2017-04-27 00:00:00,134583,7766
2016-11-14 00:00:00,132654,9891
2016-10-27 00:00:00,132308,7766
2015-11-03 00:00:00,127178,9964
2015-10-06 00:00:00,126823,4500
2015-06-02 00:00:00,124777,7737
2015-05-11 00:00:00,124439,7766
2015-03-24 00:00:00,123873,290
2019-04-09 00:00:00,143144,898
2018-05-10 00:00:00,139714,408
2017-11-15 00:00:00,137709,423
2017-10-03 00:00:00,136846,327
2017-08-09 00:00:00,136210,327
2017-05-16 00:00:00,134851,1044
2017-03-08 00:00:00,133794,327
2016-11-30 00:00:00,132939,3238
2016-11-01 00:00:00,132470,3948
2016-10-04 00:00:00,131924,2903
2016-09-13 00:00:00,131639,11523
2016-08-03 00:00:00,131046,1044
2016-07-21 00:00:00,130857,1044
2016-05-24 00:00:00,130529,3948
2016-05-17 00:00:00,129690,898
2016-05-17 00:00:00,129710,2912
2016-05-04 00:00:00,129450,408
2016-04-26 00:00:00,129292,1044
2016-03-29 00:00:00,128824,1044
2016-03-16 00:00:00,128759,9897
2016-03-02 00:00:00,128447,898
2015-09-16 00:00:00,126602,197
2015-04-13 00:00:00,129125,1044
2015-05-26 00:00:00,124827,8883
2018-07-10 00:00:00,140424,3238
2016-09-14 00:00:00,131814,9982
2015-12-15 00:00:00,127929,7766
2015-09-15 00:00:00,126577,10282
2018-12-05 00:00:00,142063,3238
2018-11-14 00:00:00,141848,3238
2018-07-04 00:00:00,140359,11525
2017-11-01 00:00:00,137324,9913
2017-10-11 00:00:00,137048,3238
2017-10-10 00:00:00,137051,3238
2017-06-13 00:00:00,135251,11525
2017-05-10 00:00:00,134770,9913
2017-03-15 00:00:00,133923,5165
2016-04-06 00:00:00,128973,7604
2019-04-02 00:00:00,143084,11523
2018-10-09 00:00:00,141494,3238
2017-07-12 00:00:00,135668,3238
2017-06-07 00:00:00,135165,3238
2016-11-30 00:00:00,132929,2903
2016-06-08 00:00:00,130145,3238
2015-12-15 00:00:00,127930,8267
2018-02-07 00:00:00,138322,327
2017-11-14 00:00:00,137539,5131
2017-10-26 00:00:00,137238,5131
2016-11-01 00:00:00,132481,5131
2015-12-15 00:00:00,127931,467
2019-03-06 00:00:00,142562,197
2018-12-19 00:00:00,142226,11524
2018-04-09 00:00:00,139152,5167
2016-11-30 00:00:00,132925,7766
2016-11-15 00:00:00,132672,11524
2016-11-14 00:00:00,132655,898
2016-07-06 00:00:00,130645,11524
2016-07-06 00:00:00,130647,11524
2016-06-07 00:00:00,130103,11524
2016-05-05 00:00:00,129486,11524
2015-09-11 00:00:00,126518,2873
2017-04-04 00:00:00,134288,3238
2019-04-08 00:00:00,143141,3238
2018-08-01 00:00:00,140668,3238
2018-07-10 00:00:00,140425,5137
2018-05-08 00:00:00,139576,898
2018-05-02 00:00:00,139480,3238
2018-03-06 00:00:00,138643,3238
2017-11-22 00:00:00,137658,3238
2017-11-14 00:00:00,137519,3238
2017-11-01 00:00:00,137300,3238
2017-07-12 00:00:00,135674,5262
2017-06-29 00:00:00,135482,3238
2017-06-27 00:00:00,135458,5137
2017-06-05 00:00:00,135084,5262
2017-06-05 00:00:00,135085,5262
2017-05-16 00:00:00,134850,3238
2017-05-10 00:00:00,134776,5246
2017-04-26 00:00:00,134536,5262
2017-04-05 00:00:00,134340,898
2017-03-14 00:00:00,133875,2903
2019-02-12 00:00:00,142491,6900
2018-11-22 00:00:00,141926,898
2018-05-22 00:00:00,139802,922
2018-04-04 00:00:00,139128,197
2018-02-21 00:00:00,138468,922
2018-02-09 00:00:00,138413,922
2017-12-20 00:00:00,137988,922
2017-11-15 00:00:00,137606,7766
2017-11-14 00:00:00,137535,327
2017-11-08 00:00:00,137427,898
2017-07-12 00:00:00,135696,922
2017-07-05 00:00:00,135589,922
2017-06-13 00:00:00,135253,922
2017-04-18 00:00:00,134381,922
2017-03-14 00:00:00,133874,922
2017-02-07 00:00:00,133569,922
2016-12-21 00:00:00,133260,922
2016-11-23 00:00:00,132827,2903
2016-11-14 00:00:00,132647,922
2016-10-03 00:00:00,131898,922
2016-07-12 00:00:00,130719,922
2016-06-15 00:00:00,130248,922
2016-06-15 00:00:00,130547,11383
2016-06-08 00:00:00,130149,2903
2016-06-06 00:00:00,130072,922
