,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,133875,2017-03-14,CSS,ENTRADA,,
1,133875,2017-03-15,CSS,ENTRADA,COMISION,317.0
2,133875,2017-04-05,CSS,TRATAMIENTO,COMISION,317.0
3,133875,2017-05-03,CSS,TRATAMIENTO,COMISION,317.0
4,133875,2017-05-17,CSS,TRATAMIENTO,COMISION,317.0
5,133875,2017-05-17,CSS,APRUEBA,COMISION,317.0
6,133875,2017-06-06,CSS,APRUEBA,,
7,133875,2017-06-13,CRR,ENTRADA,,
8,133875,2017-06-13,CRR,ENTRADA,COMISION,211.0
9,133875,2017-08-16,CRR,APRUEBA,COMISION,211.0
10,133875,2017-12-06,CRR,APRUEBA,,
11,133875,2017-12-15,P.E.,APRUEBA,LEY,19571.0
