,id_senador,id_ficha,fecha_entrada
0,2903,141926,2018-11-22
1,2903,141848,2018-11-14
2,2903,141494,2018-10-09
3,2903,140668,2018-08-01
4,2903,140544,2018-07-17
5,2903,140424,2018-07-10
6,2903,139480,2018-05-02
7,2903,139089,2018-04-03
8,2903,138859,2018-03-13
9,2903,138863,2018-03-13
10,2903,138864,2018-03-13
11,2903,138643,2018-03-06
12,2903,137830,2017-12-06
13,2903,137375,2017-11-07
14,2903,137300,2017-11-01
15,2903,137127,2017-10-17
16,2903,137048,2017-10-11
17,2903,137051,2017-10-10
18,2903,135668,2017-07-12
19,2903,135482,2017-06-29
20,2903,134850,2017-05-16
21,2903,134340,2017-04-05
22,2903,134288,2017-04-04
23,2903,133875,2017-03-14
24,2903,132929,2016-11-30
25,2903,132827,2016-11-23
26,2903,132804,2016-11-22
27,2903,132114,2016-10-18
28,2903,132117,2016-10-18
29,2903,131924,2016-10-04
30,2903,131029,2016-08-03
31,2903,130766,2016-07-13
32,2903,130145,2016-06-08
33,2903,130149,2016-06-08
34,2903,128446,2016-03-02
35,2903,127268,2015-11-10
36,2903,125290,2015-07-01
37,2903,125289,2015-07-01
38,2903,125291,2015-07-01
39,2903,125293,2015-07-01
