asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_comision,id_senador,licencia,otras_comisiones
1,1,0,0,2015-10-07 00:00:00,331,5146,0,0
1,1,0,0,2015-12-09 00:00:00,331,5146,0,0
1,1,0,0,2015-12-14 00:00:00,331,5146,0,0
1,1,0,0,2016-03-02 00:00:00,331,5146,0,0
1,1,0,0,2016-03-04 00:00:00,331,5146,0,0
1,1,0,0,2016-04-05 00:00:00,331,5146,0,0
1,1,0,0,2016-04-19 00:00:00,331,5146,0,0
1,1,0,0,2016-05-10 00:00:00,331,5146,0,0
1,1,0,0,2016-05-17 00:00:00,331,5146,0,0
0,1,1,0,2016-05-18 00:00:00,331,5146,0,0
1,1,0,0,2016-06-01 00:00:00,331,5146,0,0
1,1,0,0,2016-06-08 00:00:00,331,5146,0,0
1,1,0,0,2016-06-20 00:00:00,331,5146,0,0
1,1,0,0,2016-07-05 00:00:00,331,5146,0,0
1,1,0,0,2016-07-12 00:00:00,331,5146,0,0
1,1,0,0,2016-08-02 00:00:00,331,5146,0,0
1,1,0,0,2016-08-23 00:00:00,331,5146,0,0
1,1,0,0,2016-08-26 00:00:00,331,5146,0,0
1,1,0,0,2016-10-05 00:00:00,331,5146,0,0
1,1,0,0,2016-11-15 00:00:00,331,5146,0,0
1,1,0,0,2016-11-22 00:00:00,331,5146,0,0
1,1,0,0,2016-12-05 00:00:00,331,5146,0,0
1,1,0,0,2015-10-21 00:00:00,1104,5146,0,0
1,1,0,0,2015-10-22 00:00:00,1104,5146,0,0
0,1,1,0,2015-11-09 00:00:00,1104,5146,0,0
0,1,1,0,2015-11-12 00:00:00,1104,5146,0,0
1,1,0,0,2015-11-13 00:00:00,1104,5146,0,0
1,1,0,0,2015-11-16 00:00:00,1104,5146,0,0
0,1,1,0,2015-11-17 00:00:00,1104,5146,0,0
1,1,0,0,2015-11-23 00:00:00,1104,5146,0,0
1,1,0,0,2015-11-24 00:00:00,1104,5146,0,0
1,1,0,0,2015-11-25 00:00:00,1104,5146,0,0
1,1,0,0,2015-04-15 00:00:00,354,5146,0,0
1,1,0,0,2015-06-03 00:00:00,354,5146,0,0
1,1,0,0,2015-06-10 00:00:00,354,5146,0,0
1,1,0,0,2015-06-17 00:00:00,354,5146,0,0
1,1,0,0,2015-07-01 00:00:00,354,5146,0,0
1,1,0,0,2015-08-05 00:00:00,354,5146,0,0
1,1,0,0,2015-08-12 00:00:00,354,5146,0,0
1,1,0,0,2016-03-02 00:00:00,354,5146,0,0
1,1,0,0,2016-03-09 00:00:00,354,5146,0,0
1,1,0,0,2016-05-04 00:00:00,354,5146,0,0
1,1,0,0,2016-05-18 00:00:00,354,5146,0,0
0,1,1,0,2016-06-01 00:00:00,354,5146,0,0
1,1,0,0,2016-06-08 00:00:00,354,5146,0,0
1,1,0,0,2016-07-06 00:00:00,354,5146,0,0
1,1,0,0,2016-08-03 00:00:00,354,5146,0,0
1,1,0,0,2016-08-10 00:00:00,354,5146,0,0
1,1,0,0,2016-10-05 00:00:00,354,5146,0,0
1,1,0,0,2016-11-16 00:00:00,354,5146,0,0
1,1,0,0,2016-12-07 00:00:00,354,5146,0,0
1,1,0,0,2015-04-14 00:00:00,347,5146,0,0
1,1,0,0,2015-05-12 00:00:00,347,5146,0,0
1,1,0,0,2015-06-02 00:00:00,347,5146,0,0
1,1,0,0,2015-06-09 00:00:00,347,5146,0,0
0,1,1,0,2015-06-16 00:00:00,347,5146,0,0
1,1,0,0,2015-07-07 00:00:00,347,5146,0,0
1,1,0,0,2015-07-14 00:00:00,347,5146,0,0
1,1,0,0,2015-08-11 00:00:00,347,5146,0,0
1,1,0,0,2015-08-18 00:00:00,347,5146,0,0
1,1,0,0,2015-09-01 00:00:00,347,5146,0,0
1,1,0,0,2015-10-06 00:00:00,347,5146,0,0
1,1,0,0,2015-12-08 00:00:00,347,5146,0,0
1,1,0,0,2015-12-21 00:00:00,347,5146,0,0
1,1,0,0,2016-03-08 00:00:00,347,5146,0,0
1,1,0,0,2016-04-05 00:00:00,347,5146,0,0
1,1,0,0,2016-04-12 00:00:00,347,5146,0,0
1,1,0,0,2016-05-03 00:00:00,347,5146,0,0
1,1,0,0,2016-05-10 00:00:00,347,5146,0,0
1,1,0,0,2016-05-17 00:00:00,347,5146,0,0
1,1,0,0,2016-06-07 00:00:00,347,5146,0,0
1,1,0,0,2016-06-14 00:00:00,347,5146,0,0
1,1,0,0,2016-07-05 00:00:00,347,5146,0,0
1,1,0,0,2016-07-12 00:00:00,347,5146,0,0
1,1,0,0,2016-07-19 00:00:00,347,5146,0,0
1,1,0,0,2016-08-09 00:00:00,347,5146,0,0
1,1,0,0,2016-09-06 00:00:00,347,5146,0,0
1,1,0,0,2016-11-01 00:00:00,347,5146,0,0
1,1,0,0,2016-11-15 00:00:00,347,5146,0,0
1,1,0,0,2016-12-06 00:00:00,347,5146,0,0
1,1,0,0,2015-04-14 00:00:00,311,2743,0,0
1,1,0,0,2015-05-12 00:00:00,311,2743,0,0
1,1,0,0,2015-05-19 00:00:00,311,2743,0,0
1,1,0,0,2017-09-19 00:00:00,311,2743,0,0
1,1,0,0,2017-11-14 00:00:00,311,2743,0,0
1,1,0,0,2018-03-13 00:00:00,311,2743,0,0
1,1,0,0,2018-04-10 00:00:00,311,2743,0,0
1,1,0,0,2018-04-24 00:00:00,311,2743,0,0
1,1,0,0,2018-05-22 00:00:00,311,2743,0,0
1,1,0,0,2018-05-24 00:00:00,311,2743,0,0
1,1,0,0,2018-05-29 00:00:00,311,2743,0,0
1,1,0,0,2018-06-05 00:00:00,311,2743,0,0
1,1,0,0,2019-04-02 00:00:00,311,2743,0,0
1,1,0,0,2015-04-08 00:00:00,321,2743,0,0
1,1,0,0,2015-04-14 00:00:00,321,2743,0,0
0,1,1,0,2018-06-04 00:00:00,321,2743,0,0
1,1,0,0,2018-09-10 00:00:00,321,2743,0,0
1,1,0,0,2018-04-26 00:00:00,1112,2743,0,0
1,1,0,0,2018-05-31 00:00:00,1112,2743,0,0
0,1,1,0,2018-11-29 00:00:00,1112,2743,0,0
0,1,1,0,2015-04-09 00:00:00,315,2743,0,0
1,1,0,0,2015-04-16 00:00:00,315,2743,0,0
1,1,0,0,2015-05-14 00:00:00,315,2743,0,0
1,1,0,0,2017-11-16 00:00:00,315,2743,0,0
1,1,0,0,2018-03-15 00:00:00,315,2743,0,0
0,1,1,0,2018-04-12 00:00:00,315,2743,0,0
1,1,0,0,2018-04-26 00:00:00,315,2743,0,0
1,1,0,0,2018-05-24 00:00:00,315,2743,0,0
1,1,0,0,2018-05-31 00:00:00,315,2743,0,0
1,1,0,0,2015-04-15 00:00:00,324,2743,0,0
1,1,0,0,2018-03-14 00:00:00,324,2743,0,0
1,1,0,0,2018-09-06 00:00:00,1104,2743,0,0
0,1,0,0,2018-09-07 00:00:00,1104,2743,0,0
1,1,0,0,2018-09-10 00:00:00,1104,2743,0,0
