,id_senador,id_ficha,fecha_entrada
0,197,142562,2019-03-06
1,197,139373,2018-04-20
2,197,139152,2018-04-09
3,197,139128,2018-04-04
4,197,139042,2018-03-21
5,197,138818,2018-03-09
6,197,138027,2017-12-21
7,197,137830,2017-12-06
8,197,137845,2017-12-06
9,197,137709,2017-11-15
10,197,137535,2017-11-14
11,197,137375,2017-11-07
12,197,136210,2017-08-09
13,197,135674,2017-07-12
14,197,135231,2017-06-13
15,197,135267,2017-06-13
16,197,134730,2017-05-09
17,197,134587,2017-04-28
18,197,133711,2017-03-03
19,197,132925,2016-11-30
20,197,132827,2016-11-23
21,197,132477,2016-11-01
22,197,132308,2016-10-27
23,197,131814,2016-09-14
24,197,131639,2016-09-13
25,197,129710,2016-05-17
26,197,128594,2016-03-08
27,197,128171,2016-01-19
28,197,127929,2015-12-15
29,197,127931,2015-12-15
30,197,126602,2015-09-16
31,197,126603,2015-09-16
32,197,126518,2015-09-11
33,197,125838,2015-08-05
34,197,125009,2015-06-16
35,197,125010,2015-06-16
36,197,123873,2015-03-24
