,estado,fecha_entrada,id_ficha,id_senador,organismo,tipo,titulo,nombre
27,REALIZADO,2017-09-05,136486,7740,MVOTMA*,PEDIDO DE INFORME,ALQUILER GARANTIAS. JOVENES 18 A 29 AÑOS. PERIODO 01/01/2015 A 30/06/2017. INFORMES.,"Lafluf, Omar"
28,REALIZADO,2017-08-15,136257,7740,MSP*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
29,REALIZADO,2017-08-15,136254,7740,MGAP*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
30,REALIZADO,2017-08-15,136254,7740,MEC*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
31,REALIZADO,2017-08-15,136254,7740,MVOTMA*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
32,REALIZADO,2017-08-15,136254,7740,MSP*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
33,REALIZADO,2017-08-15,136259,7740,MEC*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
34,REALIZADO,2017-08-15,136258,7740,MGAP*,PEDIDO DE INFORME,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,"Lafluf, Omar"
35,REALIZADO,2017-06-22,135371,7740,MINISTERIO INTERIOR,PEDIDO DE INFORME,SEGURIDAD. FUNCIONARIOS POLICIALES.  YOUNG (RIO NEGRO). NECESIDAD. INFORMES.,"Lafluf, Omar"
36,REALIZADO,2017-06-07,135167,7740,MEC*,PEDIDO DE INFORME,"CENTROS EDUCATIVOS NUEVO BERLIN (RIO NEGRO). PROBLEMATICA SALUD ESTUDIANTES, DOCENTES Y FUNCIONARIOS. INFORMES.","Lafluf, Omar"
37,REALIZADO,2017-06-06,135093,7740,MTOP*,PEDIDO DE INFORME,RUTAS NACIONALES. MANTENIMIENTO. INFORMES.,"Lafluf, Omar"
38,REALIZADO,2017-05-02,134617,7740,MTSS*,PEDIDO DE INFORME,SUBSIDIO DESEMPLEO. TRABAJADORES AMPARADOS MARZO 2016-2017. INFORMES.,"Lafluf, Omar"
39,REALIZADO,2017-03-28,134186,7740,MIEM*,PEDIDO DE INFORME,"ANCAP Y ANTEL. AUSPICIO, PATROCINIO Y SPONSOREO ARTISTAS PERIODO 2010 - 2017. INFORMES.","Lafluf, Omar"
40,REALIZADO,2017-03-28,134176,7740,MTSS*,PEDIDO DE INFORME,CONSTRUCCION VIVIENDAS PASIVOS. RESOLUCIONES BPS. INFORMES.,"Lafluf, Omar"
41,REALIZADO,2017-03-28,134189,7740,MEC*,PEDIDO DE INFORME,CONTRATACION ARTISTAS MEC. ESPECTACULOS REALIZADOS. INFORMES.,"Lafluf, Omar"
42,REALIZADO,2017-03-28,134188,7740,MINISTERIO TURISMO,PEDIDO DE INFORME,CONTRATACION ARTISTAS MINISTERIO TURISMO. ESPECTACULOS REALIZADOS. INFORMES.,"Lafluf, Omar"
43,REALIZADO,2017-03-15,133900,7740,MEC*,PEDIDO DE INFORME,ESCUELA SARANDI NAVARRO (RIO NEGRO). REPARACION. OBRAS. CONTROLES. INFORMES.,"Lafluf, Omar"
44,REALIZADO,2016-09-06,131469,7740,MIEM*,PEDIDO DE INFORME,UTE. CONTRATOS COMPRA ENERGIA PARTICULARES. INFORMES.,"Lafluf, Omar"
45,REALIZADO,2016-03-10,128639,7740,BPS*,PEDIDO DE INFORME,TRABAJADORES. SEGURO DESEMPLEO. NÓMINA. INFORMES.,"Lafluf, Omar"
