asistencias,citaciones,faltas_con_aviso,faltas_sin_aviso,fecha,id_senador,licencia,pasaje_presidencia
1,1,0,0,2016-07-20 00:00:00,9891,0,0
0,1,1,0,2016-08-02 00:00:00,9891,0,0
0,1,1,0,2016-08-03 00:00:00,9891,0,0
1,1,0,0,2016-08-04 00:00:00,9891,0,0
1,1,0,0,2016-08-10 00:00:00,9891,0,0
0,1,0,0,2016-08-24 00:00:00,9891,1,0
1,1,0,0,2016-08-29 00:00:00,9891,0,0
0,1,0,0,2016-09-13 00:00:00,9891,1,0
0,1,0,0,2016-09-14 00:00:00,9891,1,0
0,1,1,0,2016-09-20 00:00:00,9891,0,0
0,1,1,0,2016-09-21 00:00:00,9891,0,0
1,1,0,0,2016-10-04 00:00:00,9891,0,0
0,1,1,0,2016-10-11 00:00:00,9891,0,0
0,1,1,0,2016-10-12 00:00:00,9891,0,0
1,1,0,0,2016-10-18 00:00:00,9891,0,0
0,1,1,0,2016-10-25 00:00:00,9891,0,0
1,1,0,0,2016-10-27 00:00:00,9891,0,0
0,1,0,0,2016-10-31 00:00:00,9891,1,0
1,1,0,0,2016-11-01 00:00:00,9891,0,0
1,1,0,0,2016-11-08 00:00:00,9891,0,0
0,1,1,0,2016-11-09 00:00:00,9891,0,0
1,1,0,0,2016-11-15 00:00:00,9891,0,0
1,1,0,0,2016-11-22 00:00:00,9891,0,0
0,1,0,0,2016-11-23 00:00:00,9891,1,0
1,1,0,0,2016-11-30 00:00:00,9891,0,0
1,1,0,0,2016-12-07 00:00:00,9891,0,0
1,1,0,0,2016-12-13 00:00:00,9891,0,0
1,1,0,0,2016-12-14 00:00:00,9891,0,0
1,1,0,0,2016-12-21 00:00:00,9891,0,0
1,1,0,0,2016-12-28 00:00:00,9891,0,0
0,1,0,0,2016-12-29 00:00:00,9891,1,0
1,1,0,0,2017-02-02 00:00:00,9891,0,0
1,1,0,0,2017-02-08 00:00:00,9891,0,0
1,1,0,0,2017-03-07 00:00:00,9891,0,0
1,1,0,0,2017-03-08 00:00:00,9891,0,0
1,1,0,0,2017-03-14 00:00:00,9891,0,0
1,1,0,0,2017-03-15 00:00:00,9891,0,0
0,1,0,0,2017-03-21 00:00:00,9891,1,0
1,1,0,0,2017-04-04 00:00:00,9891,0,0
1,1,0,0,2017-04-05 00:00:00,9891,0,0
0,1,0,0,2017-04-18 00:00:00,9891,1,0
1,1,0,0,2017-04-26 00:00:00,9891,0,0
1,1,0,0,2017-05-02 00:00:00,9891,0,0
1,1,0,0,2017-05-03 00:00:00,9891,0,0
1,1,0,0,2017-05-09 00:00:00,9891,0,0
0,1,1,0,2017-05-10 00:00:00,9891,0,0
1,1,0,0,2017-05-16 00:00:00,9891,0,0
1,1,0,0,2017-05-17 00:00:00,9891,0,0
1,1,0,0,2017-06-06 00:00:00,9891,0,0
1,1,0,0,2017-06-07 00:00:00,9891,0,0
1,1,0,0,2017-06-14 00:00:00,9891,0,0
0,1,0,0,2017-06-21 00:00:00,9891,1,0
0,1,0,0,2017-06-29 00:00:00,9891,1,0
0,1,0,0,2017-07-04 00:00:00,9891,1,0
0,1,0,0,2017-07-05 00:00:00,9891,1,0
0,1,0,0,2017-07-11 00:00:00,9891,1,0
0,1,0,0,2017-07-12 00:00:00,9891,1,0
1,1,0,0,2017-07-26 00:00:00,9891,0,0
1,1,0,0,2017-08-02 00:00:00,9891,0,0
1,1,0,0,2017-08-08 00:00:00,9891,0,0
1,1,0,0,2017-08-09 00:00:00,9891,0,0
0,1,0,0,2017-08-23 00:00:00,9891,1,0
1,1,0,0,2017-09-13 00:00:00,9891,0,0
1,1,0,0,2017-09-18 00:00:00,9891,0,0
1,1,0,0,2017-10-03 00:00:00,9891,0,0
1,1,0,0,2017-10-10 00:00:00,9891,0,0
1,1,0,0,2017-10-11 00:00:00,9891,0,0
0,1,0,0,2017-10-17 00:00:00,9891,1,0
0,1,0,0,2017-10-18 00:00:00,9891,1,0
0,1,1,0,2017-11-01 00:00:00,9891,0,0
1,1,0,0,2017-11-07 00:00:00,9891,0,0
1,1,0,0,2017-11-08 00:00:00,9891,0,0
1,1,0,0,2017-11-14 00:00:00,9891,0,0
0,1,0,0,2017-11-15 00:00:00,9891,1,0
0,1,0,0,2017-11-22 00:00:00,9891,1,0
1,1,0,0,2017-11-28 00:00:00,9891,0,0
1,1,0,0,2017-11-29 00:00:00,9891,0,0
1,1,0,0,2017-12-05 00:00:00,9891,0,0
1,1,0,0,2017-12-06 00:00:00,9891,0,0
1,1,0,0,2017-12-12 00:00:00,9891,0,0
0,1,0,0,2017-12-13 00:00:00,9891,1,0
1,1,0,0,2017-12-19 00:00:00,9891,0,0
0,1,0,0,2017-12-20 00:00:00,9891,1,0
0,1,0,0,2017-12-21 00:00:00,9891,1,0
1,1,0,0,2017-12-27 00:00:00,9891,0,0
1,1,0,0,2018-02-06 00:00:00,9891,0,0
0,1,0,0,2018-02-07 00:00:00,9891,1,0
0,1,0,0,2018-02-21 00:00:00,9891,1,0
0,1,0,0,2018-02-27 00:00:00,9891,1,0
1,1,0,0,2018-03-06 00:00:00,9891,0,0
0,1,1,0,2018-03-13 00:00:00,9891,0,0
1,1,0,0,2018-03-14 00:00:00,9891,0,0
0,1,0,0,2018-04-03 00:00:00,9891,1,0
1,1,0,0,2018-04-10 00:00:00,9891,0,0
1,1,0,0,2018-04-17 00:00:00,9891,0,0
1,1,0,0,2018-04-18 00:00:00,9891,0,0
1,1,0,0,2018-04-24 00:00:00,9891,0,0
1,1,0,0,2018-05-02 00:00:00,9891,0,0
1,1,0,0,2018-05-08 00:00:00,9891,0,0
1,1,0,0,2018-05-09 00:00:00,9891,0,0
1,1,0,0,2018-05-15 00:00:00,9891,0,0
1,1,0,0,2018-05-16 00:00:00,9891,0,0
0,1,0,0,2018-06-05 00:00:00,9891,1,0
1,1,0,0,2018-06-06 00:00:00,9891,0,0
1,1,0,0,2018-06-12 00:00:00,9891,0,0
1,1,0,0,2018-06-21 00:00:00,9891,0,0
0,1,0,0,2018-07-03 00:00:00,9891,1,0
0,1,0,0,2018-07-04 00:00:00,9891,1,0
0,1,0,0,2018-07-10 00:00:00,9891,1,0
0,1,0,0,2018-07-11 00:00:00,9891,1,0
0,1,0,0,2018-07-17 00:00:00,9891,1,0
1,1,0,0,2018-07-31 00:00:00,9891,0,0
1,1,0,0,2018-08-01 00:00:00,9891,0,0
1,1,0,0,2018-08-07 00:00:00,9891,0,0
1,1,0,0,2018-08-08 00:00:00,9891,0,0
1,1,0,0,2018-08-14 00:00:00,9891,0,0
1,1,0,0,2018-08-15 00:00:00,9891,0,0
