,id_ficha,fecha,cuerpo,estado,tipo_ref,ref_id
0,132647,2016-11-14,CSS,ENTRADA,,
1,132647,2016-11-15,CSS,ENTRADA,COMISION,311.0
2,132647,2016-12-14,CSS,APRUEBA,COMISION,311.0
3,132647,2016-12-21,CSS,APRUEBA,,
4,132647,2016-12-28,CRR,ENTRADA,,
5,132647,2016-12-28,CRR,ENTRADA,COMISION,75.0
6,132647,2018-06-13,CRR,APRUEBA,COMISION,75.0
7,132647,2018-08-08,CRR,APRUEBA,COMISION,75.0
8,132647,2018-09-24,CSS,ENTRADA,COMISION,311.0
9,132647,2018-10-16,CSS,APRUEBA,,
10,132647,2018-10-26,P.E.,APRUEBA,LEY,19679.0
