,id_comision,id_senador,fecha_reunion,citacion,falta_con_aviso,falta_sin_aviso,licencia,otras_comisiones
119,314,327,2017-08-03,1,0,0,0,0
120,314,327,2017-08-10,1,0,0,0,0
121,314,327,2017-10-05,1,0,0,0,0
122,314,327,2017-10-12,1,1,0,0,0
123,314,327,2017-10-19,1,1,0,0,0
124,314,327,2017-11-09,1,0,0,0,0
125,314,327,2017-11-16,1,0,0,0,0
126,314,327,2017-12-07,1,0,0,0,0
127,314,327,2017-12-14,1,0,0,0,0
128,314,327,2017-12-19,1,0,0,0,0
129,314,327,2017-12-20,1,0,0,0,0
130,314,327,2018-03-08,1,1,0,0,0
131,314,327,2018-03-15,1,0,0,0,0
132,314,327,2018-04-05,1,0,0,0,0
133,314,327,2018-04-12,1,1,0,0,0
134,314,327,2018-05-10,1,0,0,0,0
135,314,327,2018-05-17,1,0,0,0,0
136,314,327,2018-06-07,1,0,0,0,0
137,314,327,2018-06-14,1,0,0,0,0
138,314,327,2018-07-05,1,0,0,0,0
139,314,327,2018-08-02,1,0,0,0,0
140,314,327,2018-08-16,1,0,0,0,0
141,314,327,2018-09-05,1,0,0,0,0
142,314,327,2018-10-04,1,0,0,0,0
143,314,327,2018-10-08,1,0,0,0,0
144,314,327,2018-10-18,1,1,0,0,0
145,314,327,2018-11-08,1,0,0,0,0
146,314,327,2018-12-06,1,1,0,0,0
147,314,327,2019-03-14,1,1,0,0,0
148,311,327,2015-04-14,1,0,0,0,0
149,311,327,2015-04-21,1,0,0,0,0
150,311,327,2015-04-28,1,0,0,0,0
151,311,327,2015-05-12,1,0,0,0,0
152,311,327,2015-05-19,1,0,0,0,0
153,311,327,2015-05-26,1,0,0,0,0
154,311,327,2015-06-02,1,0,0,0,0
155,311,327,2015-06-16,1,0,0,0,0
156,311,327,2015-06-23,1,0,0,0,0
157,311,327,2015-06-30,1,0,0,0,0
158,311,327,2015-07-07,1,0,0,0,0
159,311,327,2015-07-21,1,0,0,0,0
160,311,327,2015-07-28,1,0,0,0,0
161,311,327,2015-08-11,1,0,0,0,0
162,311,327,2015-10-06,1,0,0,0,0
163,311,327,2015-10-13,1,0,0,0,0
164,311,327,2015-10-20,1,0,0,0,0
165,311,327,2015-12-08,1,0,0,0,0
