,id_senador,id_ficha,fecha_entrada
0,10001,142063,2018-12-05
1,10001,141848,2018-11-14
2,10001,141494,2018-10-09
3,10001,140668,2018-08-01
4,10001,139576,2018-05-08
5,10001,139480,2018-05-02
6,10001,139089,2018-04-03
7,10001,138859,2018-03-13
8,10001,138863,2018-03-13
9,10001,138864,2018-03-13
10,10001,138322,2018-02-07
11,10001,137830,2017-12-06
12,10001,137658,2017-11-22
13,10001,137519,2017-11-14
14,10001,137375,2017-11-07
15,10001,137300,2017-11-01
16,10001,137048,2017-10-11
17,10001,137051,2017-10-10
18,10001,136210,2017-08-09
19,10001,135482,2017-06-29
20,10001,135165,2017-06-07
21,10001,134850,2017-05-16
22,10001,134776,2017-05-10
23,10001,134340,2017-04-05
24,10001,134288,2017-04-04
25,10001,133875,2017-03-14
26,10001,132929,2016-11-30
27,10001,132139,2016-10-14
