,id_senador,id_ficha,fecha_entrada
0,3948,142562,2019-03-06
1,3948,142063,2018-12-05
2,3948,140424,2018-07-10
3,3948,140077,2018-06-12
4,3948,139714,2018-05-10
5,3948,139152,2018-04-09
6,3948,138818,2018-03-09
7,3948,138450,2018-02-20
8,3948,137958,2017-12-19
9,3948,137830,2017-12-06
10,3948,137800,2017-12-05
11,3948,137427,2017-11-08
12,3948,137375,2017-11-07
13,3948,136846,2017-10-03
14,3948,136210,2017-08-09
15,3948,135267,2017-06-13
16,3948,134583,2017-04-27
17,3948,133794,2017-03-08
18,3948,133711,2017-03-03
19,3948,132939,2016-11-30
20,3948,132470,2016-11-01
21,3948,132477,2016-11-01
22,3948,131814,2016-09-14
23,3948,131639,2016-09-13
24,3948,131385,2016-08-23
25,3948,130547,2016-06-15
26,3948,130149,2016-06-08
27,3948,130529,2016-05-24
28,3948,129868,2016-05-18
29,3948,129690,2016-05-17
30,3948,129710,2016-05-17
31,3948,129450,2016-05-04
32,3948,128594,2016-03-08
33,3948,128447,2016-03-02
34,3948,127929,2015-12-15
35,3948,127931,2015-12-15
36,3948,127429,2015-11-17
37,3948,127178,2015-11-03
38,3948,127066,2015-10-27
39,3948,126823,2015-10-06
