,id_senador,titulo,fecha_entrada,id_ficha,organismo,tipo,estado,nombre
28,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136254,MGAP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
29,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136254,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
30,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136254,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
31,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136254,MSP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
32,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136257,MSP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
33,7740,RIOS Y ARROYOS. CALIDAD AGUA. CONTROLES. INFORMES.,2017-08-15,136258,MGAP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
34,7740,SEGURIDAD. FUNCIONARIOS POLICIALES.  YOUNG (RIO NEGRO). NECESIDAD. INFORMES.,2017-06-22,135371,MINISTERIO INTERIOR,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
35,7740,"CENTROS EDUCATIVOS NUEVO BERLIN (RIO NEGRO). PROBLEMATICA SALUD ESTUDIANTES, DOCENTES Y FUNCIONARIOS. INFORMES.",2017-06-07,135167,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
36,7740,RUTAS NACIONALES. MANTENIMIENTO. INFORMES.,2017-06-06,135093,MTOP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
37,7740,SUBSIDIO DESEMPLEO. TRABAJADORES AMPARADOS MARZO 2016-2017. INFORMES.,2017-05-02,134617,MTSS*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
38,7740,"ANCAP Y ANTEL. AUSPICIO, PATROCINIO Y SPONSOREO ARTISTAS PERIODO 2010 - 2017. INFORMES.",2017-03-28,134186,MIEM*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
39,7740,CONSTRUCCION VIVIENDAS PASIVOS. RESOLUCIONES BPS. INFORMES.,2017-03-28,134176,MTSS*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
40,7740,CONTRATACION ARTISTAS MEC. ESPECTACULOS REALIZADOS. INFORMES.,2017-03-28,134189,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
41,7740,CONTRATACION ARTISTAS MINISTERIO TURISMO. ESPECTACULOS REALIZADOS. INFORMES.,2017-03-28,134188,MINISTERIO TURISMO,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
42,7740,ESCUELA SARANDI NAVARRO (RIO NEGRO). REPARACION. OBRAS. CONTROLES. INFORMES.,2017-03-15,133900,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
43,7740,UTE. CONTRATOS COMPRA ENERGIA PARTICULARES. INFORMES.,2016-09-06,131469,MIEM*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
44,7740,TRABAJADORES. SEGURO DESEMPLEO. NÓMINA. INFORMES.,2016-03-10,128639,BPS*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
45,7740,TRABAJADORES. SEGURO DESEMPLEO. NÓMINA. INFORMES.,2016-03-10,128639,INEFOP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
46,7740,"MERELLO SCHULEZ, Rodolfo. PROFESOR CODICEN. SITUACION LABORAL ACTUAL. DETALLES. INFORMES.",2015-11-17,127415,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
47,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,MEF*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
48,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,MEC*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
49,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,OPP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
50,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,MSP*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
51,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,MTSS*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
52,7740,SISTEMA NACIONAL DE CUIDADOS. CAPACITACIONES. INFORMES.,2015-11-04,127185,MIDES*,PEDIDO_INFORME,REALIZADO,"Lafluf, Omar"
53,5246,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,2017-07-26,135905,ONSC*,PEDIDO_INFORME,REALIZADO,"Topolansky, Lucía"
54,5246,CARGO INTENDENTE TREINTA Y TRES. INCOMPATIBILIDADES E IMPEDIMENTOS FUNCIONARIO UTE. INFORMES.,2017-07-24,135884,CORTE ELECTORAL,PEDIDO_INFORME,REALIZADO,"Topolansky, Lucía"
55,5246,ELECCIONES NACIONALES 2014. PROCLAMACIÓN. CONSULTAS. INFORMES.,2017-04-19,134430,CORTE ELECTORAL,PEDIDO_INFORME,REALIZADO,"Topolansky, Lucía"
56,9927,EMPRESAS INVESTIGADAS POR SECRETARIA ANTILAVADO POR ASOCIACION ILICITA CONCESION OBRA PUBLICA ARGENTINA. ACTUACION BROU. INFORMES.,2018-10-10,141518,MEF*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
57,9927,ANCAP. PARTICIPACION EMPRESAS PRIVADAS. INFORMES.,2018-06-05,139976,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
58,9927,ANCAP. EMPRESAS TERCERIZADAS. INFORMES.,2018-06-05,139977,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
59,9927,UTE. EMPRESAS TERCERIZADAS. INFORMES.,2018-06-05,139978,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
60,9927,INSTITUTO NACIONAL COLONIZACION. PARTICIPACION EMPRESAS PRIVADAS.  INFORMES.,2018-06-05,139975,MGAP*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
61,9927,OSE. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFROMES.,2018-06-05,139960,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
62,9927,OSE. SERVICIOS TERCIARIZADOS. CONTRATACION. INFORMES.,2018-06-05,139964,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
63,9927,ANV. PARTICIPACION EMPRESAS Y/O SERVICIOS. CONTRATACION. INFORMES.,2018-06-05,139966,MVOTMA*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
64,9927,UTE. PARTICIPACION EMPRESAS PRIVADAS. INFORMES.,2018-06-05,139979,MIEM*,PEDIDO_INFORME,REALIZADO,"Facello, Guillermo"
